,activePlaceCount,birthYear,date,fc,gender,id,mda,movements,startLetter,totalWorks,url,birth.place.name,birth.place.placeName,birth.place.placeType,birth.time.startYear,death.place.name,death.place.placeName,death.place.placeType,death.time.startYear,json_path,dict,dict_sub,dict_sub_sub,file_name,activePlaces
1678,0,1957.0,born 1957,Tatsuo Miyajima,Male,2300,"Miyajima, Tatsuo","[{'era': {'id': 415, 'name': '20th century post-1945'}, 'id': 421, 'name': 'Conceptual Art'}]",M,3,http://www.tate.org.uk/art/artists/tatsuo-miyajima-2300,"Tokyo, Nihon",Tokyo,inhabited_place,1957.0,,,,,clone/artists/m/miyajima-tatsuo-2300.json,clone,artists,m,miyajima-tatsuo-2300.json,
1679,0,1915.0,1915–2005,Bernard Meadows,Male,1615,"Meadows, Bernard","[{'era': {'id': 415, 'name': '20th century post-1945'}, 'id': 424, 'name': 'Geometry of Fear'}]",M,14,http://www.tate.org.uk/art/artists/bernard-meadows-1615,"Norwich, United Kingdom",Norwich,inhabited_place,1915.0,,,,2005.0,clone/artists/m/meadows-bernard-1615.json,clone,artists,m,meadows-bernard-1615.json,
1680,1,1967.0,1967–2002,Michel Majerus,Male,6307,"Majerus, Michel",[],M,4,http://www.tate.org.uk/art/artists/michel-majerus-6307,"Esch-sur-Alzette, Luxembourg",Esch-sur-Alzette,inhabited_place,1967.0,,,,2002.0,clone/artists/m/majerus-michel-6307.json,clone,artists,m,majerus-michel-6307.json,"[{'name': 'Berlin, Deutschland', 'placeName': 'Berlin', 'placeType': 'inhabited_place'}]"
1681,1,1969.0,born 1969,Steve McQueen,Male,2387,"McQueen, Steve",[],M,5,http://www.tate.org.uk/art/artists/steve-mcqueen-2387,"London, United Kingdom",London,inhabited_place,1969.0,,,,,clone/artists/m/mcqueen-steve-2387.json,clone,artists,m,mcqueen-steve-2387.json,"[{'name': 'London, United Kingdom', 'placeName': 'London', 'placeType': 'inhabited_place'}]"
1682,0,1867.0,1867–1930,David Muirhead,Male,1676,"Muirhead, David",[],M,5,http://www.tate.org.uk/art/artists/david-muirhead-1676,"Edinburgh, United Kingdom",Edinburgh,inhabited_place,1867.0,"London, United Kingdom",London,inhabited_place,1930.0,clone/artists/m/muirhead-david-1676.json,clone,artists,m,muirhead-david-1676.json,
1683,0,,,Santu Mofokeng,Male,13378,"Mofokeng, Santu",[],M,1,http://www.tate.org.uk/art/artists/santu-mofokeng-13378,"Johannesburg, South Africa",Johannesburg,inhabited_place,1956.0,,,,,clone/artists/m/mofokeng-santu-13378.json,clone,artists,m,mofokeng-santu-13378.json,
1684,0,1928.0,born 1928,Desmond Morris,Male,2773,"Morris, Desmond","[{'era': {'id': 8, 'name': '20th century 1900-1945'}, 'id': 1688, 'name': 'British Surrealism'}]",M,1,http://www.tate.org.uk/art/artists/desmond-morris-2773,"Purton, United Kingdom",Purton,inhabited_place,1928.0,,,,,clone/artists/m/morris-desmond-2773.json,clone,artists,m,morris-desmond-2773.json,
1685,0,1963.0,born 1963,Jorge Macchi,Male,6024,"Macchi, Jorge",[],M,2,http://www.tate.org.uk/art/artists/jorge-macchi-6024,"La Plata, Argentina",La Plata,inhabited_place,1963.0,,,,,clone/artists/m/macchi-jorge-6024.json,clone,artists,m,macchi-jorge-6024.json,
1686,0,1898.0,1898–1986,"Henry Moore OM, CH",Male,1659,"Moore, Henry, OM, CH","[{'era': {'id': 8, 'name': '20th century 1900-1945'}, 'id': 1688, 'name': 'British Surrealism'}, {'era': {'id': 8, 'name': '20th century 1900-1945'}, 'id': 10525, 'name': 'British War Art'}, {'era': {'id': 8, 'name': '20th century 1900-1945'}, 'id': 303, 'name': 'Direct Carving'}, {'era': {'id': 8, 'name': '20th century 1900-1945'}, 'id': 321, 'name': 'Unit One'}]",M,638,http://www.tate.org.uk/art/artists/henry-moore-om-ch-1659,"Castleford, United Kingdom",Castleford,inhabited_place,1898.0,,,,1986.0,clone/artists/m/moore-henry-om-ch-1659.json,clone,artists,m,moore-henry-om-ch-1659.json,
1687,0,1762.0,1762–1799,James Moore,Male,2283,"Moore, James",[],M,1,http://www.tate.org.uk/art/artists/james-moore-2283,,,,1762.0,"London, United Kingdom",London,inhabited_place,1799.0,clone/artists/m/moore-james-2283.json,clone,artists,m,moore-james-2283.json,
1688,1,1942.0,born 1942,Denis Masi,Male,2271,"Masi, Denis",[],M,2,http://www.tate.org.uk/art/artists/denis-masi-2271,"West Virginia, United States",West Virginia,state,1942.0,,,,,clone/artists/m/masi-denis-2271.json,clone,artists,m,masi-denis-2271.json,"[{'name': 'London, United Kingdom', 'placeName': 'London', 'placeType': 'inhabited_place'}]"
1689,0,1872.0,active 1872,George Musgrave,Male,2574,"Musgrave, George",[],M,3,http://www.tate.org.uk/art/artists/george-musgrave-2574,,,,1872.0,,,,1872.0,clone/artists/m/musgrave-george-2574.json,clone,artists,m,musgrave-george-2574.json,
1690,0,1889.0,1889–1958,Marlow Moss,Female,1671,"Moss, Marlow","[{'era': {'id': 8, 'name': '20th century 1900-1945'}, 'id': 298, 'name': 'Constructivism'}, {'era': {'id': 8, 'name': '20th century 1900-1945'}, 'id': 6277, 'name': 'Neo-Plasticism'}, {'era': {'id': 415, 'name': '20th century post-1945'}, 'id': 441, 'name': 'St Ives School'}]",M,3,http://www.tate.org.uk/art/artists/marlow-moss-1671,"Surrey, United Kingdom",Surrey,county,1889.0,"Penzance, United Kingdom",Penzance,inhabited_place,1958.0,clone/artists/m/moss-marlow-1671.json,clone,artists,m,moss-marlow-1671.json,
1691,0,1931.0,born 1931,Marisa Merz,Female,12525,"Merz, Marisa","[{'era': {'id': 415, 'name': '20th century post-1945'}, 'id': 418, 'name': 'Arte Povera'}]",M,4,http://www.tate.org.uk/art/artists/marisa-merz-12525,"Torino, Italia",Torino,inhabited_place,1931.0,,,,,clone/artists/m/merz-marisa-12525.json,clone,artists,m,merz-marisa-12525.json,
1692,0,1905.0,1905–1962,John Maxwell,Male,1599,"Maxwell, John",[],M,2,http://www.tate.org.uk/art/artists/john-maxwell-1599,"England, United Kingdom",England,country,1905.0,"England, United Kingdom",England,country,1962.0,clone/artists/m/maxwell-john-1599.json,clone,artists,m,maxwell-john-1599.json,
1693,0,1928.0,born 1928,Keith Michell,Male,1629,"Michell, Keith",[],M,14,http://www.tate.org.uk/art/artists/keith-michell-1629,,,,1928.0,,,,,clone/artists/m/michell-keith-1629.json,clone,artists,m,michell-keith-1629.json,
1694,0,1953.0,1953–2001,Juan Muñoz,Male,2336,"Muñoz, Juan",[],M,6,http://www.tate.org.uk/art/artists/juan-munoz-2336,"Madrid, España",Madrid,inhabited_place,1953.0,"Ibiza, España",Ibiza,inhabited_place,2001.0,clone/artists/m/munoz-juan-2336.json,clone,artists,m,munoz-juan-2336.json,
1695,0,1901.0,1901–1983,Werner Mantz,Male,14941,"Mantz, Werner",[],M,10,http://www.tate.org.uk/art/artists/werner-mantz-14941,"Köln, Deutschland",Köln,inhabited_place,1901.0,"Eijsden, Nederland",Eijsden,inhabited_place,1983.0,clone/artists/m/mantz-werner-14941.json,clone,artists,m,mantz-werner-14941.json,
1696,2,1925.0,1925–2003,Mario Merz,Male,1623,"Merz, Mario","[{'era': {'id': 415, 'name': '20th century post-1945'}, 'id': 418, 'name': 'Arte Povera'}]",M,6,http://www.tate.org.uk/art/artists/mario-merz-1623,"Milano, Italia",Milano,inhabited_place,1925.0,"Milano, Italia",Milano,inhabited_place,2003.0,clone/artists/m/merz-mario-1623.json,clone,artists,m,merz-mario-1623.json,"[{'name': 'Torino, Italia', 'placeName': 'Torino', 'placeType': 'inhabited_place'}, {'name': 'Milano, Italia', 'placeName': 'Milano', 'placeType': 'inhabited_place'}]"
1697,0,1896.0,1896–1987,André Masson,Male,1590,"Masson, André","[{'era': {'id': 8, 'name': '20th century 1900-1945'}, 'id': 320, 'name': 'Surrealism'}]",M,11,http://www.tate.org.uk/art/artists/andre-masson-1590,"Haute-Corse, France",Haute-Corse,department,1896.0,"Paris, France",Paris,inhabited_place,1987.0,clone/artists/m/masson-andre-1590.json,clone,artists,m,masson-andre-1590.json,
1698,0,1938.0,born 1938,Brice Marden,Male,1578,"Marden, Brice","[{'era': {'id': 415, 'name': '20th century post-1945'}, 'id': 430, 'name': 'Minimalism'}]",M,68,http://www.tate.org.uk/art/artists/brice-marden-1578,"Bronxville, United States",Bronxville,inhabited_place,1938.0,,,,,clone/artists/m/marden-brice-1578.json,clone,artists,m,marden-brice-1578.json,
1699,0,1844.0,1844–1930,Anna Lea Merritt,Female,378,"Merritt, Anna Lea",[],M,1,http://www.tate.org.uk/art/artists/anna-lea-merritt-378,"Philadelphia, United States",Philadelphia,inhabited_place,1844.0,"Hurstbourne Tarrant, United Kingdom",Hurstbourne Tarrant,inhabited_place,1930.0,clone/artists/m/merritt-anna-lea-378.json,clone,artists,m,merritt-anna-lea-378.json,
1700,0,1841.0,1841–1895,Berthe Morisot,Female,1663,"Morisot, Berthe","[{'era': {'id': 350, 'name': '19th century'}, 'id': 357, 'name': 'Impressionism'}]",M,1,http://www.tate.org.uk/art/artists/berthe-morisot-1663,"Bourges, France",Bourges,inhabited_place,1841.0,"Paris, France",Paris,inhabited_place,1895.0,clone/artists/m/morisot-berthe-1663.json,clone,artists,m,morisot-berthe-1663.json,
1701,0,1930.0,born 1930,Leonard McComb,Male,1604,"McComb, Leonard",[],M,13,http://www.tate.org.uk/art/artists/leonard-mccomb-1604,"Glasgow, United Kingdom",Glasgow,inhabited_place,1930.0,,,,,clone/artists/m/mccomb-leonard-1604.json,clone,artists,m,mccomb-leonard-1604.json,
1702,0,1681.0,1681–1749,Peter Monamy,Male,381,"Monamy, Peter",[],M,1,http://www.tate.org.uk/art/artists/peter-monamy-381,London,London,inhabited_place,1681.0,"Greater London, United Kingdom",Greater London,city,1749.0,clone/artists/m/monamy-peter-381.json,clone,artists,m,monamy-peter-381.json,
1703,0,1689.0,?1689–1760,Philip Mercier,Male,377,"Mercier, Philip","[{'era': {'id': 290, 'name': '18th century'}, 'id': 340, 'name': 'Conversation Piece'}, {'era': {'id': 290, 'name': '18th century'}, 'id': 341, 'name': 'Fancy Picture'}, {'era': {'id': 290, 'name': '18th century'}, 'id': 346, 'name': 'Rococo'}]",M,3,http://www.tate.org.uk/art/artists/philip-mercier-377,"Berlin, Deutschland",Berlin,inhabited_place,1689.0,"London, United Kingdom",London,inhabited_place,1760.0,clone/artists/m/mercier-philip-377.json,clone,artists,m,mercier-philip-377.json,
1704,0,1948.0,1948–1985,Ana Mendieta,Female,11167,"Mendieta, Ana","[{'era': {'id': 415, 'name': '20th century post-1945'}, 'id': 1680, 'name': 'Body Art'}, {'era': {'id': 415, 'name': '20th century post-1945'}, 'id': 436, 'name': 'Performance Art'}]",M,5,http://www.tate.org.uk/art/artists/ana-mendieta-11167,"La Habana, Cuba",La Habana,inhabited_place,1948.0,"New York, United States",New York,inhabited_place,1985.0,clone/artists/m/mendieta-ana-11167.json,clone,artists,m,mendieta-ana-11167.json,
1705,1,1946.0,born 1946,Anthony McCall,Male,7491,"McCall, Anthony",[],M,2,http://www.tate.org.uk/art/artists/anthony-mccall-7491,"London, United Kingdom",London,inhabited_place,1946.0,,,,,clone/artists/m/mccall-anthony-7491.json,clone,artists,m,mccall-anthony-7491.json,"[{'name': 'New York, United States', 'placeName': 'New York', 'placeType': 'inhabited_place'}]"
