moma_artist_id,artist_name,nationality,gender,born,dead
497,Ella Bergmann-Michel,German,female,1896,1971.0
498,Paul Bergtold,American,male,1942,
501,Henryk Berlewi,Polish,male,1894,1967.0
502,Eugene Berman,American,male,1899,1972.0
503,Mieczyslaw Berman,Polish,male,1903,1975.0
504,Sarah Berman,American,female,1895,1957.0
505,Wallace Berman,American,male,1926,1976.0
506,Zeke Berman,American,male,1951,
507,Cundo Bermúdez,Cuban,male,1914,2008.0
508,José Ygnacio Bermudez,Cuban,male,1922,1988.0
509,Thoni Bern,Swiss,,,
510,Camille Bernabé,French,male,1808,1900.0
511,Émile Bernard,French,male,1868,1941.0
512,Francis Bernard,French,male,1900,1979.0
513,Valère Bernard,French,male,1860,1936.0
514,Jerry Berndt,American,male,1943,2013.0
515,Lucian Bernhard,American,male,1883,1972.0
516,Ruth Bernhard,American,female,1905,2006.0
517,Antonio Berni,Argentine,male,1905,1981.0
518,Janez Bernik,Slovenian,male,,2016.0
519,Judith Bernstein,American,female,1942,
520,Richard Bernstein,American,male,1939,2002.0
521,Jean Berque,French,male,1896,1954.0
522,Miguel Ortiz Berrocal,Spanish,male,1933,2006.0
523,Bertall & Cie.,French,,,
524,M. Berthaud,French,male,,1890.0
525,Palme Berthold,,,,
526,Berthold-Mahn (Charles Désiré),French,male,1893,1975.0
527,René Bertholo,Portuguese,male,1935,2005.0
528,Paul Berthon,French,male,1872,1909.0
529,Jake Berthot,American,male,1939,2014.0
530,Gianni Bertini,Italian,male,1922,
531,Harry Bertoia,American,male,1915,1978.0
532,Emilio Bertonati,Italian,male,,
533,Albert Besnard,French,male,1849,1934.0
534,Forrest Bess,American,male,1911,1977.0
535,Ruth Bessoudo Courvoisier,Brazilian,female,1914,2015.0
536,Alan Randall Best,Canadian,male,1958,
537,William Betsch,American,male,,
538,Pierre Betz,French,male,1899,1969.0
539,Wim Beuning,Dutch,male,1914,1986.0
540,Joseph Beuys,German,male,1921,1986.0
541,Art Bevacqua,Nationality unknown,male,,
542,Thomas Bewick,British,male,1753,1828.0
544,Jyoti Bhatt,Indian,male,1934,
545,Domenico Bianchi,Italian,male,1955,
546,Pamela Bianco,American,female,1906,1994.0
547,Fulvio Bianconi,Italian,male,1915,1996.0
548,Carl Bianga,German,male,,
549,Alberto Biasi,Italian,male,1937,
550,Guido Biasi,Italian,male,1933,
551,Ashley Bickerton,British,male,1959,
553,George Biddle,American,male,1885,1973.0
554,Charles Biederman,American,male,1906,2004.0
555,James Biederman,American,male,1947,
556,Aenne Biermann,German,female,1898,1933.0
557,Wilson Bigaud,Haitian,male,1931,2010.0
559,Max Bill,Swiss,male,1908,1994.0
560,Joseph Binder,American,male,1898,1972.0
561,Ilse Bing,American,female,1899,1998.0
562,Robert J. Bingham,British,male,1824,1870.0
